gw,player_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,played,in_dreamteam
3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,62,85,0,0,1,0,0,0,0,0,0,0,0,6,True,False
3,63,90,0,0,1,0,0,0,0,0,0,0,0,6,True,False
3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,66,90,0,0,1,0,0,0,0,0,0,0,0,3,True,False
3,67,21,0,0,0,0,0,0,0,0,0,0,0,1,True,False
3,68,68,0,0,1,0,0,0,0,0,0,0,0,3,True,False
3,69,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,71,90,0,0,1,0,0,0,0,0,0,0,0,3,True,False
3,72,4,0,0,0,0,0,0,0,1,0,0,0,0,True,False
3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,74,45,0,0,0,0,0,0,0,0,0,0,0,1,True,False
3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,79,45,0,0,0,0,0,0,0,0,0,0,0,1,True,False
3,80,90,0,0,1,0,0,0,0,0,0,0,0,3,True,False
3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,83,85,0,0,1,0,0,0,0,0,0,0,0,2,True,False
3,84,45,2,0,0,0,0,0,0,0,0,0,3,12,True,True
3,85,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,94,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,107,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,108,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,109,90,0,0,0,5,0,0,0,0,0,7,0,2,True,False
3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,111,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,112,90,0,0,0,5,0,0,0,0,0,0,0,0,True,False
3,113,90,0,0,0,5,1,0,0,0,0,0,0,-2,True,False
3,114,8,0,0,0,1,0,0,0,0,0,0,0,1,True,False
3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,116,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,117,23,0,0,0,0,0,0,0,0,0,0,0,1,True,False
3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,119,45,0,0,0,3,0,0,0,0,0,0,0,1,True,False
3,120,84,0,0,0,5,0,0,0,0,0,0,0,2,True,False
3,121,66,0,0,0,5,0,0,0,0,0,0,0,2,True,False
3,122,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,123,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,124,5,0,0,0,0,0,0,0,0,0,0,0,1,True,False
3,125,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,126,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,127,90,0,0,0,5,0,0,0,0,0,0,0,2,True,False
3,128,90,0,0,0,5,0,0,0,0,0,0,0,2,True,False
3,129,90,0,1,0,5,0,0,0,0,0,0,0,5,True,False
3,130,66,1,0,0,5,0,0,0,0,0,0,1,7,True,False
3,131,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,132,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,133,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,135,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,136,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,137,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,138,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,139,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,140,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,141,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
